
157,General Motors Company,GM,0.136518,   26.94,-1.82,(-6.31%)
158,DexCom Inc.,DXCM,0.132629,   364.31,-20.86,(-5.42%)
159,Xcel Energy Inc.,XEL,0.132344,   64.66,-2.27,(-3.39%)
160,SBA Communications Corp. Class A,SBAC,0.130042,   298.70,-7.42,(-2.42%)
161,FedEx Corporation,FDX,0.126612,   130.59,-9.81,(-6.99%)
162,Bank of New York Mellon Corporation,BK,0.126513,   38.06,-1.89,(-4.73%)
163,Capital One Financial Corporation,COF,0.126093,   67.15,-4.65,(-6.48%)
164,Walgreens Boots Alliance Inc,WBA,0.125276,   41.33,-2.95,(-6.66%)
165,Allstate Corporation,ALL,0.124667,   96.38,-5.60,(-5.49%)
166,Kinder Morgan Inc Class P,KMI,0.123829,   15.95,-0.99,(-5.82%)
167,EOG Resources Inc.,EOG,0.122128,   52.97,-2.66,(-4.78%)
168,Dow Inc.,DOW,0.12194,   39.71,-3.87,(-8.88%)
169,O'Reilly Automotive Inc.,ORLY,0.118903,   410.39,-6.09,(-1.46%)
170,Cognizant Technology Solutions Corporation Class A,CTSH,0.118787,   54.06,-3.47,(-6.03%)
171,Travelers Companies Inc.,TRV,0.117757,   111.84,-9.14,(-7.55%)
172,MetLife Inc.,MET,0.116493,   36.66,-2.84,(-7.19%)
173,Public Storage,PSA,0.115816,   196.00,-9.47,(-4.61%)
174,American International Group Inc.,AIG,0.115219,   32.12,-3.04,(-8.65%)
175,KLA Corporation,KLAC,0.114713,   183.46,-9.31,(-4.83%)
176,Constellation Brands Inc. Class A,STZ,0.113803,   170.84,-9.46,(-5.25%)
177,T. Rowe Price Group,TROW,0.112652,   120.92,-6.93,(-5.42%)
178,Amphenol Corporation Class A,APH,0.112247,   95.62,-4.73,(-4.71%)
179,WEC Energy Group Inc,WEC,0.111006,   90.92,-2.79,(-2.98%)
180,IHS Markit Ltd.,INFO,0.110324,   69.46,-3.32,(-4.56%)
181,HCA Healthcare Inc,HCA,0.109909,   102.91,-7.18,(-6.52%)
182,Sysco Corporation,SYY,0.10965,   53.94,-3.05,(-5.35%)
183,Schlumberger NV,SLB,0.109478,   19.09,-1.87,(-8.92%)
184,Aflac Incorporated,AFL,0.108196,   36.45,-2.64,(-6.75%)
185,TE Connectivity Ltd.,TEL,0.107377,   79.94,-5.20,(-6.11%)
186,Yum! Brands Inc.,YUM,0.107309,   90.65,-3.45,(-3.66%)
187,Valero Energy Corporation,VLO,0.106925,   62.26,-6.79,(-9.83%)
188,Synopsys Inc.,SNPS,0.106474,   181.62,-7.80,(-4.12%)
189,MSCI Inc. Class A,MSCI,0.106099,   305.97,-25.30,(-7.64%)
190,Eversource Energy,ES,0.1056,   83.85,-2.42,(-2.80%)
191,Verisk Analytics Inc,VRSK,0.105481,   163.66,-7.58,(-4.43%)
192,Agilent Technologies Inc.,A,0.105037,   86.17,-3.64,(-4.05%)
193,Marriott International Inc. Class A,MAR,0.105009,   93.13,-9.49,(-9.25%)
194,Zimmer Biomet Holdings Inc.,ZBH,0.104208,   121.43,-12.86,(-9.58%)
195,IDEXX Laboratories Inc.,IDXX,0.104169,   301.20,-20.70,(-6.43%)
196,Prudential Financial Inc.,PRU,0.103095,   61.58,-6.30,(-9.28%)
197,Twitter Inc.,TWTR,0.10265,   33.35,-1.79,(-5.09%)
198,Cummins Inc.,CMI,0.101853,   167.97,-8.24,(-4.68%)
199,Monster Beverage Corporation,MNST,0.101402,   68.10,-2.34,(-3.32%)
200,AutoZone Inc.,AZO,0.10131,"   1,099.45",-27.43,(-2.43%)
201,Ford Motor Company,F,0.100303,   6.22,-0.60,(-8.74%)
202,Johnson Controls International plc,JCI,0.100208,   33.71,-0.72,(-2.09%)
203,IQVIA Holdings Inc,IQV,0.100158,   139.87,-7.32,(-4.97%)
204,PACCAR Inc,PCAR,0.099811,   73.24,-3.56,(-4.64%)
205,Chipotle Mexican Grill Inc.,CMG,0.099216,"   1,001.55",-27.41,(-2.66%)
206,Public Service Enterprise Group Inc,PEG,0.099111,   49.66,-2.54,(-4.87%)
207,Cadence Design Systems Inc.,CDNS,0.0986,   89.61,-3.58,(-3.84%)
208,Kroger Co.,KR,0.098294,   32.88,0.31,(0.94%)
209,Clorox Company,CLX,0.098173,   206.51,-0.79,(-0.38%)
210,Alexion Pharmaceuticals Inc.,ALXN,0.097338,   111.32,-5.01,(-4.31%)
211,PPG Industries Inc.,PPG,0.097211,   100.84,-8.20,(-7.52%)
212,Consolidated Edison Inc.,ED,0.096589,   74.33,-2.62,(-3.40%)
213,Willis Towers Watson Public Limited Company,WLTW,0.096564,   188.23,-10.88,(-5.46%)
214,Simon Property Group Inc.,SPG,0.096363,   72.76,-10.26,(-12.35%)
215,Marathon Petroleum Corporation,MPC,0.096009,   36.16,-3.04,(-7.74%)
216,Motorola Solutions Inc.,MSI,0.095824,   138.41,-9.83,(-6.63%)
217,Rockwell Automation Inc.,ROK,0.095041,   210.97,-7.17,(-3.29%)
218,HP Inc.,HPQ,0.094592,   15.90,-0.99,(-5.86%)
219,McKesson Corporation,MCK,0.094147,   146.23,-8.16,(-5.29%)
220,Microchip Technology Incorporated,MCHP,0.094031,   99.98,-4.37,(-4.19%)
221,Paychex Inc.,PAYX,0.092916,   73.45,-3.84,(-4.97%)
222,ANSYS Inc.,ANSS,0.092346,   274.21,-11.79,(-4.12%)
223,Williams Companies Inc.,WMB,0.091609,   18.58,-1.56,(-7.74%)
224,Fastenal Company,FAST,0.091455,   41.17,-1.32,(-3.11%)
225,State Street Corporation,STT,0.090691,   62.24,-3.90,(-5.90%)
226,Parker-Hannifin Corporation,PH,0.090666,   176.45,-10.74,(-5.74%)
227,Xilinx Inc.,XLNX,0.090645,   90.92,-4.39,(-4.60%)
228,Otis Worldwide Corporation,OTIS,0.090295,   56.78,-2.25,(-3.81%)
229,AvalonBay Communities Inc.,AVB,0.090221,   163.17,-8.18,(-4.77%)
230,Ball Corporation,BLL,0.090107,   68.37,-4.45,(-6.11%)
231,ResMed Inc.,RMD,0.089654,   157.43,-9.08,(-5.45%)
232,American Water Works Company Inc.,AWK,0.089099,   127.86,-3.21,(-2.45%)
233,FleetCor Technologies Inc.,FLT,0.088723,   259.12,-14.15,(-5.18%)
234,Hilton Worldwide Holdings Inc,HLT,0.088128,   78.95,-3.88,(-4.68%)
235,Cintas Corporation,CTAS,0.087248,   262.83,-15.35,(-5.52%)
236,Archer-Daniels-Midland Company,ADM,0.086782,   39.09,-2.25,(-5.44%)
237,TransDigm Group Incorporated,TDG,0.086496,   426.10,-34.99,(-7.59%)
238,FirstEnergy Corp.,FE,0.086214,   40.47,-1.78,(-4.21%)
239,Trane Technologies plc,TT,0.085725,   90.88,-3.71,(-3.92%)
240,Cerner Corporation,CERN,0.085405,   67.72,-4.16,(-5.78%)
